6,8,9,36,39,57,37
2,8,36,51,52,54,10
9,21,23,30,35,38,53
1,8,12,16,18,42,4
3,15,38,45,48,53,27
3,5,7,13,25,57,37
1,6,25,45,49,52,56
22,30,34,35,45,50,51
4,28,31,36,51,55,42
4,9,17,21,26,46,12
27,28,32,39,46,52,6
1,15,29,33,42,49,54
15,16,37,42,44,50,48
5,6,8,20,26,39,1
3,16,18,24,36,56,10
1,9,16,17,18,34,13
4,33,36,39,45,49,20
2,3,8,23,40,54,52
16,17,29,47,52,56,15
1,5,9,21,26,42,17
6,8,11,17,29,44,20
7,16,26,28,36,58,9
12,15,24,34,36,51,21
2,3,23,27,40,50,30
3,5,18,22,26,49,29
4,6,13,49,56,58,12
2,8,28,32,40,45,5
12,38,40,51,57,58,29
20,25,26,48,49,50,30
6,12,20,48,52,57,34
7,8,18,21,23,57,4
4,6,14,32,34,39,46
16,24,29,30,32,38,1
1,4,27,48,57,59,5
7,10,31,32,34,40,14
8,27,34,40,55,56,43
10,12,23,31,37,46,15
10,17,23,40,51,52,20
6,19,27,32,39,57,50
18,36,50,53,57,58,22
9,20,41,43,46,48,7
28,33,36,45,49,51,48
1,10,16,36,46,55,44
1,15,17,33,53,59,41
3,6,33,39,46,57,17
9,15,24,34,43,49,32
9,11,16,27,36,52,50
6,22,28,36,48,53,13
12,18,21,38,44,54,14
4,14,15,33,50,53,16
14,24,37,39,41,53,19
12,27,34,38,40,41,32
1,12,27,29,31,47,23
2,3,7,20,40,52,14
9,19,22,33,47,54,1
12,27,29,35,36,41,51
5,17,20,37,45,51,29
6,7,17,28,34,37,59
23,26,34,36,44,59,43
11,12,13,19,43,58,48
3,16,27,34,36,46,6
10,15,22,41,51,57,58
13,32,36,37,39,46,40
1,2,15,19,39,43,58
4,10,27,30,48,50,54
3,25,33,35,48,56,1
17,18,27,28,35,57,51
7,15,30,39,52,59,38
18,24,34,49,50,57,41
3,19,28,33,41,43,57
1,14,21,36,39,41,34
3,4,13,14,38,56,52
2,13,38,42,52,54,39
20,24,25,27,34,37,50
19,32,44,45,52,53,12
13,21,33,40,44,52,9
13,15,31,32,36,56,53
15,17,27,40,45,52,28
32,35,36,37,40,51,43
1,9,16,27,30,51,34
6,9,30,48,51,52,55
4,8,12,15,38,56,30
4,18,21,24,37,58,22
23,27,29,37,43,47,11
4,13,21,27,28,37,19
8,20,22,39,47,48,16
7,18,47,51,56,59,17
6,31,39,47,48,58,8
3,7,21,29,34,39,19
10,11,18,20,37,49,5
13,14,16,28,43,52,56
13,24,34,35,49,55,53
5,16,17,32,51,59,53
4,11,17,19,39,42,59
1,15,16,17,24,48,9
4,7,8,37,42,50,36
8,24,25,32,33,46,47
12,30,31,34,52,58,56
6,13,14,15,31,33,38
2,15,17,28,30,45,54
12,23,27,45,51,54,59
6,13,14,20,45,52,54
15,24,26,30,42,59,18
3,17,28,42,52,57,58
