14,29,31,41,43,56
3,5,21,28,56,57
21,28,33,36,43,46
8,21,37,39,56,59
13,14,25,31,37,39
3,13,41,50,56,57
1,20,25,35,46,59
5,26,36,53,57,58
4,12,35,41,47,50
6,22,29,48,50,59
8,24,36,39,46,56
12,16,17,43,53,57
9,16,26,28,47,58
21,27,31,50,53,59
33,34,44,50,56,57
4,22,26,27,33,37
5,8,33,37,47,52
43,48,49,52,55,58
10,21,29,33,42,51
3,10,26,38,41,47
7,13,21,23,39,44
14,20,23,28,33,54
20,24,33,34,50,51
3,14,15,46,52,53
13,18,27,35,46,53
11,12,14,17,44,58
22,24,27,30,52,57
3,17,23,24,30,49
10,11,18,29,44,59
1,7,10,30,40,53
2,4,6,35,55,58
5,8,24,47,50,53
7,10,24,31,48,56
10,22,35,38,56,57
15,19,26,41,51,57
6,10,29,50,55,57
3,5,6,15,41,45
21,34,37,39,44,51
12,15,21,24,39,50
18,20,38,40,42,51
12,25,37,48,51,57
30,31,37,45,49,56
5,16,24,34,44,57
1,4,6,30,32,38
9,19,41,46,52,59
11,23,25,38,53,58
20,21,32,34,52,59
3,26,37,38,41,53
11,14,36,39,42,59
21,36,40,46,48,54
13,23,25,31,43,52
3,17,21,26,46,59
9,23,33,43,48,53
9,25,36,41,44,54
12,13,19,39,42,59
2,12,19,32,54,58
12,14,17,32,33,36
2,10,13,34,41,54
1,11,14,37,38,39
7,16,17,19,33,57
5,25,28,29,53,58
14,15,31,41,44,45
6,21,24,40,47,52
15,22,42,49,50,54
20,26,30,37,45,48
3,5,6,9,35,59
7,10,20,24,30,38
13,16,21,30,49,54
9,25,42,43,46,52
3,20,27,34,42,58
2,6,7,29,31,42
25,38,45,46,55,57
11,22,25,28,45,55
6,13,28,34,37,45
14,15,18,22,39,50
3,15,20,48,57,58
1,4,9,40,44,58
23,31,36,48,51,54
6,8,12,26,32,46
20,21,24,26,39,47
11,13,18,25,36,55
2,13,18,45,50,59
