3,22,27,29,34,41
19,32,33,36,40,45
10,12,22,34,46,48
9,18,22,26,37,41
11,29,33,38,46,48
4,11,20,35,43,46
5,16,23,35,44,47
3,19,35,38,39,42
1,6,26,29,37,48
2,13,30,39,45,47
1,13,17,26,42,46
23,27,32,37,41,43
12,17,18,20,30,35
4,20,32,44,48,49
1,4,10,17,28,35
19,30,33,38,42,44
5,18,34,38,40,45
22,24,29,31,44,45
3,8,12,23,34,46
5,6,8,32,33,41
6,16,33,37,40,41
4,24,25,28,38,47
2,10,15,16,18,39
2,8,10,45,47,49
10,22,35,37,47,49
5,15,21,33,35,42
8,11,15,21,37,39
9,26,30,31,38,45
7,20,25,27,33,45
3,5,16,25,43,45
5,7,23,29,38,47
8,10,13,31,38,48
13,24,31,33,41,44
9,21,27,33,35,48
16,20,26,35,43,46
3,6,7,29,46,49
7,12,26,33,35,47
8,18,24,26,32,38
1,3,4,16,17,27
8,12,15,22,36,48
18,19,21,32,35,39
4,22,25,30,34,42
1,7,15,25,27,32
2,9,12,22,25,26
7,20,27,40,43,49
2,5,6,17,18,30
9,13,22,39,48,49
3,12,29,37,43,46
16,18,26,32,38,40
12,20,36,39,44,45
2,6,7,23,27,30
1,10,17,23,29,35
1,14,17,23,30,47
6,10,18,19,22,43
2,7,24,30,31,35
9,12,13,15,21,33
2,15,16,17,26,42
3,9,10,17,34,48
11,19,23,31,38,46
1,12,16,26,37,49
2,17,22,38,45,49
5,26,28,45,47,49
1,8,13,22,36,45
11,14,19,25,30,41
10,15,16,18,19,28
1,9,10,12,42,45
5,6,34,37,42,48
10,15,18,25,42,48
8,18,19,29,44,45
18,26,33,38,43,44
10,11,13,38,39,42
1,21,25,27,39,42
9,25,28,37,41,48
3,4,8,9,30,32
3,9,15,16,21,29
1,2,15,23,31,48
11,13,28,34,37,45
7,24,30,44,46,47
3,16,24,27,30,48
2,8,23,32,35,39
6,22,25,26,28,44
3,6,11,20,34,43
7,11,16,32,42,49
5,11,17,23,40,45
6,19,29,32,34,46
4,10,18,21,43,49
9,19,25,29,30,38
9,11,15,24,38,46
10,12,18,20,22,47
2,12,33,39,45,48
6,9,13,17,21,24
17,30,31,32,35,47
11,12,13,18,43,48
1,5,8,16,31,39
16,32,34,35,40,48
9,23,25,26,33,36
2,28,34,35,38,47
3,11,13,34,35,43
8,14,21,26,37,48
1,7,9,28,33,39
4,6,13,21,36,46
8,23,35,39,44,46
1,7,24,27,46,48
3,18,22,27,41,46
19,28,31,34,41,47
17,18,22,23,40,49
2,12,17,23,24,34
14,23,29,39,41,45
2,5,19,21,40,46
4,8,21,24,39,44
3,11,25,28,34,45
16,25,27,32,35,43
8,10,16,17,30,47
5,12,13,19,27,47
9,11,18,20,35,47
18,22,25,44,45,46
22,23,38,40,43,47
14,15,17,31,39,45
1,3,5,13,21,24
1,5,8,18,42,48
6,21,28,34,38,41
6,19,22,38,39,43
24,38,40,44,47,48
17,19,20,35,43,45
11,14,17,34,37,43
1,10,11,18,19,46
5,16,30,38,42,43
13,21,37,42,46,48
7,17,19,26,29,41
19,21,25,33,37,41
4,7,8,11,24,40
3,9,12,28,29,38
9,25,33,36,46,49
25,30,34,39,40,47
1,3,22,32,38,44
3,21,31,42,47,48
7,19,20,29,41,49
1,3,4,5,17,37
1,3,26,34,43,47
5,6,10,15,27,49
23,32,33,42,43,45
14,17,23,28,42,49
10,11,15,18,19,40
4,29,35,44,46,49
10,22,28,33,37,39
1,4,5,25,34,46
11,15,18,24,34,44
1,4,6,18,19,40
5,22,26,40,42,43
5,8,9,26,29,44
1,12,23,26,35,45
7,22,35,44,48,49
22,26,29,31,35,42
2,23,28,31,42,45
5,18,21,24,38,48
16,21,24,28,31,33
11,12,15,29,37,43
6,8,21,25,43,47
5,10,11,16,17,33
6,9,31,32,40,47
6,27,33,38,45,47
1,3,11,16,23,36
6,9,13,15,40,43
22,27,30,31,48,49
10,11,14,21,25,42
3,13,17,29,40,48
4,7,8,10,17,22
8,11,28,33,38,41
11,12,19,47,48,49
13,14,31,32,37,41
6,11,12,13,36,42
1,2,19,30,44,49
10,12,13,19,31,46
